label_number,cost,epsilon,gamma,pearson,spearman
B.cells,256,0.005,1e-8,0.9943753928217306,0.878201868054435
B.cells,384,0.005,1e-8,0.9949120547904936,0.8803367075214341
B.cells,512,0.005,1e-8,0.9951456855056312,0.8811427073585161
B.cells,768,0.005,1e-8,0.995411784496018,0.8817358393991274
B.cells,256,0.05,1e-8,0.9918639838320794,0.8701736592685908
B.cells,384,0.05,1e-8,0.9907794566128285,0.8672562955573077
B.cells,512,0.05,1e-8,0.9903683582574251,0.8661050228897625
B.cells,768,0.05,1e-8,0.9907885719659126,0.8668718205048312
B.cells,256,5e-5,1e-8,0.9945898129925435,0.8789567462567708
B.cells,384,5e-5,1e-8,0.995106978278641,0.8810197194677662
B.cells,512,5e-5,1e-8,0.9953068004631226,0.8815484382485974
B.cells,768,5e-5,1e-8,0.9955303603977834,0.8821260723620435
B.cells,256,5e-4,1e-8,0.9945849443822676,0.8789228579941588
B.cells,384,5e-4,1e-8,0.9950944334696463,0.8809769118251973
B.cells,512,5e-4,1e-8,0.9952946433281881,0.8815323349336524
B.cells,768,5e-4,1e-8,0.9955175485303058,0.8821079510878322
B.cells,256,5e-6,1e-8,0.9945899820825836,0.8789498582891418
B.cells,384,5e-6,1e-8,0.9950937657094189,0.88099686271581
B.cells,512,5e-6,1e-8,0.9952928846990224,0.8815026978385614
B.cells,768,5e-6,1e-8,0.9955352150358228,0.8821451757097646
B.cells,256,0.005,1e-7,0.9963166358899376,0.8829445431873912
B.cells,384,0.005,1e-7,0.9967406278548206,0.8833364846891528
B.cells,512,0.005,1e-7,0.9969650733707337,0.8834970604345028
B.cells,768,0.005,1e-7,0.9973122842285902,0.8839769715072132
B.cells,256,0.05,1e-7,0.9933697775656095,0.8724766620077813
B.cells,384,0.05,1e-7,0.9938179232472404,0.8736130286828794
B.cells,512,0.05,1e-7,0.9944288675513593,0.8749059889970419
B.cells,768,0.05,1e-7,0.9948695297623026,0.8755112691524363
B.cells,256,5e-5,1e-7,0.9964103255239867,0.8834602797636093
